date,close,high,low,volume
2020-12-02,3449.38,3465.73,3435.87,312811104.0
2020-12-03,3442.14,3452.16,3428.8,298459936.0
2020-12-04,3444.58,3448.4,3417.05,256276704.0
2020-12-07,3416.6,3449.58,3414.31,254522512.0
2020-12-08,3410.18,3428.66,3403.03,226907328.0
2020-12-09,3371.96,3422.54,3371.92,260747424.0
2020-12-10,3373.28,3384.89,3357.75,247308304.0
2020-12-11,3347.19,3383.18,3325.17,298617152.0
2020-12-14,3369.12,3371.13,3338.63,239807920.0
2020-12-15,3367.23,3373.56,3348.42,225667408.0
2020-12-16,3366.98,3378.66,3359.17,220813984.0
2020-12-17,3404.87,3406.15,3354.01,275463616.0
2020-12-18,3394.9,3413.81,3382.75,280992640.0
2020-12-21,3420.57,3423.61,3381.12,283759808.0
2020-12-22,3356.78,3415.75,3353.86,323037664.0
2020-12-23,3382.32,3394.21,3360.2,299523520.0
2020-12-24,3363.11,3394.07,3354.02,275044448.0
2020-12-25,3396.56,3397.01,3348.35,294546880.0
2020-12-28,3397.29,3412.52,3383.65,316181536.0
2020-12-29,3379.04,3407.09,3376.09,311769184.0
2020-12-30,3414.45,3414.45,3374.42,291023552.0
2020-12-31,3473.07,3474.92,3419.73,335673920.0
2021-01-04,3502.96,3511.66,3457.21,380790784.0
2021-01-05,3528.68,3528.68,3484.72,407995936.0
2021-01-06,3550.88,3556.8,3513.13,370230912.0
2021-01-07,3576.2,3576.2,3526.62,405348224.0
2021-01-08,3570.11,3588.06,3544.89,345557888.0
2021-01-11,3531.5,3597.7,3516.99,362479168.0
2021-01-12,3608.34,3608.34,3517.47,323406144.0
2021-01-13,3598.65,3622.35,3575.59,388127776.0
2021-01-14,3565.9,3599.06,3559.6,347666816.0
2021-01-15,3566.38,3589.27,3533.79,324612736.0
2021-01-18,3596.22,3608.77,3544.26,301652576.0
2021-01-19,3566.38,3603.15,3553.02,323439552.0
2021-01-20,3583.09,3589.96,3556.44,272271648.0
2021-01-21,3621.26,3636.24,3585.8,327467008.0
2021-01-22,3606.75,3616.54,3585.03,324463072.0
2021-01-25,3624.24,3637.1,3591.02,327341056.0
2021-01-26,3569.43,3610.97,3564.74,278139872.0
2021-01-27,3573.34,3578.8,3546.49,264107168.0
2021-01-28,3505.18,3549.54,3496.88,270862464.0
2021-01-29,3483.07,3531.6,3446.55,293662656.0
2021-02-01,3505.28,3506.39,3469.88,277567904.0
2021-02-02,3533.68,3535.5,3495.57,264540624.0
2021-02-03,3517.31,3544.01,3508.51,297351712.0
2021-02-04,3501.86,3524.72,3465.77,298834848.0
